Subject,PercentageDistribution,coursesBySubject,avg_NumberOfSubscriberPerSubject,totalNumberOfSubscriber,avg_contentDurationPerSubject,sum_contentDurationPerSubject
Web Development,32.63,"1,200","6,650","7,980,572",5.59,"6,713.75"
Business Finance,32.49,"1,195","1,563","1,868,711",3.55,"4,245.83"
Graphic Design,16.39,603,"1,763","1,063,148",3.58,"2,159.07"
Musical Instruments,18.49,680,"1,245","846,689",2.85,"1,940.98"
