difficult_level,percentageDistribution,Number_LevelCount,SubscribersByDifficultLvel
All Levels,52.44698206,1929,6915076
Beginner Level,34.52963567,1270,4051843
Intermediate Level,11.44643828,421,742005
Expert Level,1.576943991,58,50196
