course_title,num_lectures,price,num_subscribers
Forex For Beginners - A Guide To Currency Trading,23,20,68
"Professional Options Trading, Simplified",21,200,631
Option selling trading as income source. Beginners friendly,61,195,1276
Become A Forex Trader - Forex trading like a professional,19,0,1735
Hedge Fund Trading System,12,0,8985
Learn About Trading Options from a real wallstreet trader,12,20,1046
Introductory Forex Trading Course,15,0,5931
TRADING TRUTHS,27,50,1405
Forex Trading vs Option Trading,29,95,1776
TRADING TACTICS,62,145,951
MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,23,30,1278
build a solid foundation for trading options,8,20,1115
Option Trading for Rookies: Basic Option Strategies,61,95,810
Trading Economic Indicators - Complete Trading System,25,50,2692
Foundation of Options Trading and Investing,14,20,6374
Option Trading - How To Earn If You Can't Predict The Market,30,145,2305
7 Steps: Your Introduction to Trading,176,25,1076
Chart Patterns Trading Demystified,29,200,1023
Forex Trading: Comprehensive & Concise Forex Trading Course,44,160,2379
Leaps Options Trading System - Diagonal Leaps Options Spread,16,200,993
Forex Trading -  Learn to Trade From Scratch!,37,20,1423
Technical Analysis tools for Stocks and Options trading,11,40,3555
Quantitative Trading Analysis with R,53,50,567
Get Started With Penny Stocks -Step by Step Guide to Trading,18,200,7159
"Forex trading tactics, that work!",5,20,10
Trading Options Basics,8,200,8
Practical Trading on Financial Futures & Options Markets,25,50,43
High-Frequency Trading & Dark Pools,22,40,19
Forex Trading For Beginners: Technical Trading,16,0,1685
Trading: High-ROI Trading,47,190,126
The Advantages of ETF Options and Index Options Trading,9,60,52
Beginners Guide To Ichimoku Trading,17,20,265
ALGOTECH Hedge Fund Method for Stock Market Trading,4,20,605
Futures/Commodity Trading,23,50,472
Introduction to Forex Trading Business For Beginners,27,20,0
Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,7,20,0
Options Trading Foundation: Your journey to competency...,5,95,0
TRADING: 5K CHALLENGE,19,55,375
Forex Trading,25,95,136
Forex Trading Profitably,15,20,512
Bitcoin Trading 101,19,95,302
Forex Trading System: Correlation EUR/GBP vs GBP/USD,26,50,33
Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,12,120,54
Trading for Beginners - Entry Level,16,0,5077
Trend Following Stocks: A Complete Trading System,64,95,1202
Bitcoin - Ethereum: Trading -Watch me manage my own account!,22,165,431
FastTrack to Stock Trading Strategies,12,25,5685
Algorithmic futures trading - Investing with no experience,19,195,1512
"Binary, Forex, Stock and Bitcoin Trading Strategy",14,0,3757
Forex Trading :RSI Indicator-A Secret Weapon,14,95,57
"Trading Mindset, and Three Steps To Profitable Trading",24,20,246
Forex online live trading system (Special Offer),34,200,31
Winning Options Trading System,24,105,367
"Day trading strategy for all level, with 72% success rate",15,95,51
Forex Trading Masterclass - Learn To Trade Better,30,200,152
Python for Trading & Investing,36,95,638
Stock Market - Swing Trading Strategies for Wall Street,5,50,814
Proven Methods In Trading Candlestick Patterns,22,75,438
Trading Biotech Stocks - Understanding the Healthcare Sector,16,55,166
Smart Trading Techniques for Safe & Consistent Weekly Result,24,100,46
Technical Trading and Investing Made Easy,27,40,217
Hot Trading Investing Strategy: ETF and Futures,13,50,80
MQL4 Programming for Traders: Build Robust Trading Robots!,74,195,1367
Successful Day Trading with Fibonacci,11,200,869
How to invest in Forex Trading & add an additional income,14,50,8
FX Trading for Beginners,22,20,16
Dash Crypto Currency Technical and Trading Overview Bootcamp,14,20,4
Easy Forex and Futures Trading,66,100,218
Aprende a hacer paper trading (simulación) con Ninja Trader,15,25,148
Trading mit kleinen Konten - Grundlagen die du kennen musst,20,80,74
Trading Forex  - L'analyse des volumes,13,70,4
Trading Intradiario basado en Precio y Volumen,19,40,92
Stock Trading: Ultimate Guide to swing trading stocks,13,200,336
Forex Trading : Power Of Moving Averages,33,200,100
Samuel and Co Trading - Stock & Forex Trading,24,50,592
Professional Trading With Institutional Supply & Demand,37,200,343
The Forex Pivot Points Trading Strategy,12,20,21
Create Trading Robot Without Coding Skills!,13,145,5
Trading News Using Binary Options,22,145,1186
Trading Trends in ANY Market,22,30,632
Contango VXX - ETF Options Trading - Double Your Investment,20,200,513
TRADING MARKET MAP,27,45,1489
High Probability Trading Across Any Market: Stocks & Forex,105,95,353
Option Trading for Rookies: Make & Manage Profitable Trades,59,95,507
"High-Frequency Trading #1: Basics, History & Strategies",11,50,2222
Price Action Gap Trading Strategies,5,20,13
Trading Forex - Trader avec les figures harmoniques,23,90,57
Day Trading: High ROI Day Trading ,51,150,17
Trading Tips from Hedge Fund Manager,32,50,6
Stock Trading Strategies Using a D.A.R.T.,5,20,227
The Complete Guide to Forex Trading,33,20,1329
Trading strategies with common sense technical analysis,29,75,1750
Technical Analysis 101: Master the Basics of Trading,50,95,2688
Forex Trading using professional indicators by TOP traders,28,200,1699
Trading Strategies: Find The Trading Strategy That Fits You,12,20,1037
Forex Trading - Learn An Effective Forex Trading Strategy,16,95,223
