course_title,num_lectures,price,num_subscribers
Four Fundamentals of Financial Planning,20,30,6219
Tax Strategy: Financial Planning for Beginners,25,200,1703
Financial Planning & Analysis: Building a Company's Budget,27,150,1988
Planning and Executing a Financial Statement Audit,9,50,0
CFP - Introduction to Financial Planning,38,30,1192
