course_title,num_lectures,price,num_subscribers,tradingCourse_revenue
Trading con retrocesos de Fibonacci,15,25,14,350
Curso de Trading práctico basado en casos reales,55,20,44,880
Curso Avanzado de Trading,100,125,106,13250
Mastering Technical Analysis : Maximizing Trading Profits,62,60,325,19500
The Complete Guide to Professional Trading with Elliott Wave,43,115,228,26220
Technical Analysis 101: Secrets of Trading Revealed,81,150,912,136800
Volatility Trading Analysis with R,45,50,190,9500
Situational Trading: Proven Option Strategy for any Scenario,16,200,1048,209600
Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),21,20,1749,34980
Mastering Countertrend Trading : High Profit Trading Pattern,11,40,14,560
Forex: Economic News Trading,11,25,42,1050
Forex For Beginners - A Guide To Currency Trading,23,20,68,1360
"Professional Options Trading, Simplified",21,200,631,126200
Option selling trading as income source. Beginners friendly,61,195,1276,248820
Become A Forex Trader - Forex trading like a professional,19,0,1735,0
Hedge Fund Trading System,12,0,8985,0
Learn About Trading Options from a real wallstreet trader,12,20,1046,20920
Introductory Forex Trading Course,15,0,5931,0
TRADING TRUTHS,27,50,1405,70250
Forex Trading vs Option Trading,29,95,1776,168720
TRADING TACTICS,62,145,951,137895
MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,23,30,1278,38340
build a solid foundation for trading options,8,20,1115,22300
Option Trading for Rookies: Basic Option Strategies,61,95,810,76950
Trading Economic Indicators - Complete Trading System,25,50,2692,134600
Foundation of Options Trading and Investing,14,20,6374,127480
Option Trading - How To Earn If You Can't Predict The Market,30,145,2305,334225
7 Steps: Your Introduction to Trading,176,25,1076,26900
Chart Patterns Trading Demystified,29,200,1023,204600
Forex Trading: Comprehensive & Concise Forex Trading Course,44,160,2379,380640
Leaps Options Trading System - Diagonal Leaps Options Spread,16,200,993,198600
Forex Trading -  Learn to Trade From Scratch!,37,20,1423,28460
Technical Analysis tools for Stocks and Options trading,11,40,3555,142200
Quantitative Trading Analysis with R,53,50,567,28350
Get Started With Penny Stocks -Step by Step Guide to Trading,18,200,7159,1431800
"Forex trading tactics, that work!",5,20,10,200
Trading Options Basics,8,200,8,1600
Practical Trading on Financial Futures & Options Markets,25,50,43,2150
High-Frequency Trading & Dark Pools,22,40,19,760
Forex Trading For Beginners: Technical Trading,16,0,1685,0
Trading: High-ROI Trading,47,190,126,23940
The Advantages of ETF Options and Index Options Trading,9,60,52,3120
Beginners Guide To Ichimoku Trading,17,20,265,5300
ALGOTECH Hedge Fund Method for Stock Market Trading,4,20,605,12100
Futures/Commodity Trading,23,50,472,23600
Introduction to Forex Trading Business For Beginners,27,20,0,0
